﻿msg_0,[end]
msg_104,"[color(yellow)][var(msg_var_0)][color(white)]
御託を並べる暇がお有りなら
もっと切実な問題に取り組むべきです！！
[wait][clear][end]"
msg_105,"[color(yellow)][var(msg_var_0)][color(white)]
貴方がたの狂信的な言動は、
邪教に通ずる兆候の現れ…
[wait][clear][end]"
msg_106,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
何が原因で、貴方は其処まで
依怙地になっていらっしゃるのですか…
[wait][clear][end]"
msg_107,"[color(yellow)][var(msg_var_0)][color(white)]
自己幻想が崩れた時より
現実社会との関係は始まる…
其処からが、人としての船出なのです…
[wait][clear][end]"
msg_108,"[color(yellow)][var(msg_var_0)][color(white)]
貴方の仰る事も、頷けますが、
人は常に、己の煩悩と戦う性にあります…
其れを乗り越える事も、また試練なのです…
[wait][clear][end]"
msg_109,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
己の心の壁を崩せる者こそ、
大人と呼ぶに相応しいのですよ…
[wait][clear][end]"
msg_110,"[color(yellow)][var(msg_var_0)][color(white)]
煩悩に悩まされているとはいえ、
貴方の開き直った態度には、棘が有ります！
甘えるのも大概にしなさい！！
[wait][clear][end]"
msg_111,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
如何にも人間らしい問題ですね…
特に意見する必要も無さそうですが…
[wait][clear][end]"
msg_112,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
貴方の意見は興味深いのですが
異種族が口を挟む問題ではありませんね。
[wait][clear][end]"
msg_113,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
人間に皮肉を言われるとは、
夢にも思いませんでした…
[wait][clear][end]"
msg_114,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ… 成る程…
種族の違いもある事ですし、
互いに言い分はございましょう…
[wait][clear][end]"
msg_115,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
皮肉を口にして、貴方の気が治まるのでしたら
どうぞ気兼ね無く、お続け下さい…
[wait][clear][end]"
msg_116,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
近頃、男性より、むしろ、女性の方が
逞しい様ですね…
[wait][clear][end]"
msg_117,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
群羊を駆りて猛虎を攻む程の勢いですね…
[wait][clear][end]"
msg_118,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
貴方がたからは、男性に対する殺気すら感じます…
[wait][clear][end]"
msg_119,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
女性の執念とは、恐ろしいものです…
[wait][clear][end]"
msg_120,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
私には、男性に甘えているだけの様に
見受けられるのですが…
[wait][clear][end]"
msg_121,"[color(yellow)][var(msg_var_0)][color(white)]
いつの世も男女の諍いは絶えませんね…
それも愛なのでしょうか…
[wait][clear][end]"
msg_122,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
愚痴をこぼす暇がお有りでしたら、
早く、賢い男性を捕まえることです…
[wait][clear][end]"
msg_123,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
如何に、女性と言えど
男性を侮辱する発言は許しません！
[wait][clear][end]"
msg_124,"[color(yellow)][var(msg_var_0)][color(white)]
女性から生まれる憎しみは
常に恐ろしく、残酷なものです…
[wait][clear][end]"
msg_125,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
男性に其処まで言わせるとは
さぞ尊い存在なのでしょう…
[wait][clear][end]"
msg_126,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
貴方をその様な態度に駆り立てたのも
恋の魔力の効力なのでしょう…
[wait][clear][end]"
msg_127,"[color(yellow)][var(msg_var_0)][color(white)]
恋ほど辛いものは無く、恋ほど楽しい事は無い…
そして、恋の為に死を覚悟される貴方は、
実に幸福なのかも知れません…
[wait][clear][end]"
msg_128,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
私に対する、その様な態度も、
恋は盲目と言われる由縁の表れでしょうね…
[wait][clear][end]"
msg_129,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
愛無き人生は、無意味に等しい…
精々、その女性を大切にする事です…
[wait][clear][end]"
msg_130,"[color(yellow)][var(msg_var_0)][color(white)]
落ちつきなさい！
[wait][clear][end]"
msg_131,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
人が人を愛する故
ここまでの殺気を引き出すとは…
[wait][clear][end]"
msg_132,"[color(yellow)][var(msg_var_0)][color(white)]
たとえ血縁関係が幻想であれ、
貴方がた兄弟の絆は固い様です…
[wait][clear][end]"
msg_133,"[color(yellow)][var(msg_var_0)][color(white)]
近年におきまして、兄弟間の交流は
激減している様子です…
貴方がたも、意志の疎通を怠たらぬ様に…
[wait][clear][end]"
msg_134,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
実に微笑ましい光景です…
[wait][clear][end]"
msg_135,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
経験を積まねば、
理解出来ぬ事も多いでしょう…
[wait][clear][end]"
msg_136,"[color(yellow)][var(msg_var_0)][color(white)]
一線を引く心掛けあらば、
大人と子供の境など、
各々の考えに任せれば良いのです…
[wait][clear][end]"
msg_137,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
互いの刺激が、
何れ、成長へと繋がって行く事でしょう…
[wait][clear][end]"
msg_138,"[color(yellow)][var(msg_var_0)][color(white)]
愚かな！！
他人を責める暇がお有りならば、
まず己を見直す事です！！
[wait][clear][end]"
msg_139,"[color(yellow)][var(msg_var_0)][color(white)]
ほう…これは美しい。
ですが、綺麗な花には棘が付き物…
[wait][clear][end]"
msg_140,"[color(yellow)][var(msg_var_0)][color(white)]
美しい…ですが、残念な事に
現代女性には、昔の女性の様な
したたかさは残っていない様ですね…
[wait][clear][end]"
msg_141,"[color(yellow)][var(msg_var_0)][color(white)]
男性を食い物にする淫婦共…
己の変わり果てた醜い姿を、
鏡に映してみるがよい！！
[wait][clear][end]"
msg_142,"[color(yellow)][var(msg_var_0)][color(white)]
ぬぅ…美しい…
ですが、一見優雅に見える、その裏には、
貪欲な策略が隠されているものです…
[wait][clear][end]"
msg_143,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
昔とは違い、女性が男性を選ぶ
時代になったという事でしょうね…
[wait][clear][end]"
msg_144,"[color(yellow)][var(msg_var_0)][color(white)]
貴方の様な独身者は結婚に憧れ
既婚者は、そこから逃れようとする。
ふむ…人間とは、何とも身勝手な生物ですね…
[wait][clear][end]"
msg_145,"[color(yellow)][var(msg_var_0)][color(white)]
欲は生命の現れと申しますが、
貴方がたの生命力を此れほど感じられる時は
他に有りませんね…
[wait][clear][end]"
msg_146,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
男性へのこだわりも良いが、
時に、妥協も必要なのですよ…
[wait][clear][end]"
msg_147,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
女性が目の色を変える時は、
決まって異性の話か、食物の話です…
[wait][clear][end]"
msg_148,"[color(yellow)][var(msg_var_0)][color(white)]
男漁りとは、情けない！！
[wait][clear][end]"
msg_149,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
男性を物の様に扱うとは…
[wait][clear][end]"
msg_150,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
人間の酒好きにも、困ったものです…
[wait][clear][end]"
msg_151,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
酒は百薬の長と申しまして、
己を失う前に、程々にして置く事です…
[wait][clear][end]"
msg_152,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
今宵は無礼講という訳ですか…
[wait][clear][end]"
msg_153,"[color(yellow)][var(msg_var_0)][color(white)]
何と筆舌に尽くしがたい醜態！
恥を知りなさい！！
[wait][clear][end]"
msg_154,"[color(yellow)][var(msg_var_0)][color(white)]
虎になるとは、良く言ったものです…
酒に溺れた人間は、何を仕出かす事か…
[wait][clear][end]"
msg_155,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
貴方がたの体内より、興奮時に起こる
アドレナリンの臭化が漂って来ます…
[wait][clear][end]"
msg_156,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
その言葉、この私への愛情表現と
受け取っておきましょう…
[wait][clear][end]"
msg_157,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
時に、自ら恐怖を求める人の心理は
実に不可思議…
[wait][clear][end]"
msg_158,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
作り話といえど、良く出来ています…
[wait][clear][end]"
msg_159,[end]
msg_160,[end]
msg_161,[end]
msg_162,"[color(yellow)][var(msg_var_0)][color(white)]
冷静になりなさい！
復讐心は、何も生み出しませんよ！
[wait][clear][end]"
msg_163,"[color(yellow)][var(msg_var_0)][color(white)]
む、むぅ…
貴方から発せられる、この巨大な殺気は…
[wait][clear][end]"
msg_164,[end]
msg_165,[end]
msg_166,[end]
msg_167,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
死とは終わりではなく
死によって、人は完成されるのです…
[wait][clear][end]"
msg_168,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
死を惜しまれる貴方の気持は
死者への賛美なのでしょうね…
[wait][clear][end]"
msg_169,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
死を惜しむ時間など
今の貴方には残されてはいない筈です！！
[wait][clear][end]"
msg_170,"[color(yellow)][var(msg_var_0)][color(white)]
数々の試練に耐え漸く瞑目したのです！
潔く、黄泉の世界へ送ってあげなさい！！
[wait][clear][end]"
msg_171,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
貴方の悲しみから
歪んだ復讐心を生み出さねば良いが…
[wait][clear][end]"
msg_172,[end]
msg_173,[end]
msg_174,[end]
msg_175,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
貴方のご様子から察するに
余程、偉大な方だった様ですね…
[wait][clear][end]"
msg_176,"[color(yellow)][var(msg_var_0)][color(white)]
この私に逆らったのですから
これは当然の結果！
生きて帰れるとでも思っていたのですか！
[wait][clear][end]"
msg_177,[end]
msg_178,[end]
msg_179,[end]
msg_180,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
悲しみを押し殺す為
わざと憎まれ口を叩くとは、いじらしい方です…
[wait][clear][end]"
msg_181,"[color(yellow)][var(msg_var_0)][color(white)]
悲しみにさえ、素直になれぬとは…
ふふふ…
貴方は、愛深き方なのかもしれませんね…
[wait][clear][end]"
msg_182,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
死者に対し、何と罰当たりな！！
[wait][clear][end]"
msg_183,"[color(yellow)][var(msg_var_0)][color(white)]
ど、同志に対し、何と冷酷な…
[wait][clear][end]"
msg_184,[end]
msg_185,[end]
msg_186,[end]
msg_187,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
ようやく私との
力の差を理解していただけましたか…
[wait][clear][end]"
msg_188,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
何と往生際の悪い方だ！！
[wait][clear][end]"
msg_189,"[color(yellow)][var(msg_var_0)][color(white)]
この後に及び、命乞いとは情けない！！
[wait][clear][end]"
msg_190,"[color(yellow)][var(msg_var_0)][color(white)]
む、むぅ…
意外な行動…
な、何を考えているのです…
[wait][clear][end]"
msg_191,"その行動に、何か特別な意味でもあるのですか？
[end_choice][clear][end]"
msg_191_Choice1,接触を図っているのよ
msg_191_Choice2,敵を倒す為…
msg_191_Choice3,誘惑してるのよ…
msg_192,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…大胆な方です…
気に入りましたよ…
[wait][clear][end]"
msg_193,"[color(yellow)][var(msg_var_0)][color(white)]
この私と安易に接触しようなど
次元の違いを考慮すべきです！
[wait][clear][end]"
msg_194,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
面白いご冗談を…
[wait][clear][end]"
msg_195,"[color(yellow)][var(msg_var_0)][color(white)]
人間の誘惑に負ける程
この私は堕落してはいません！
口を慎みなさい！！
[wait][clear][end]"
msg_196,"その自信は、何処から来るのです？
[end_choice][clear][end]"
msg_196_Choice1,豊富な実体験からかな…
msg_196_Choice2,若さよ！若さ！
msg_197,"[color(yellow)][var(msg_var_0)][color(white)]
貴方のような青二才が、経験を語るなど笑止…
経験豊富な者は、己を忍ぶものです！！
[wait][clear][end]"
msg_198,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
思い上がりも甚だしいというもの！！
[wait][clear][end]"
msg_199,"[color(yellow)][var(msg_var_0)][color(white)]
この私と戯れる程の自信がお有りだと…
…それが貴方の答えなのですね。
恐ろしい方です…
[wait][clear][end]"
msg_200,"[color(yellow)][var(msg_var_0)][color(white)]
特に著しく進化を遂げたのは、
弱体化する男性に反した、その逞しさです。
そこで尋ねたいのですが…
[wait][clear][end]"
msg_201,"人生に男性は必要ないのではありませんか？
[end_choice][clear][end]"
msg_201_Choice1,愛を知る為かな…
msg_201_Choice2,働かせる為によ！
msg_201_Choice3,男なんて…必要ないわ…
msg_202,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
愛無くして、人を語る事無かれ…
私は、その答えを待っていたのです！
[wait][clear][end]"
msg_203,"[color(yellow)][var(msg_var_0)][color(white)]
そ、そうですか…
私も男として、
今宵は、背筋が凍てつく思いです…
[wait][clear][end]"
msg_204,"[color(yellow)][var(msg_var_0)][color(white)]
弱体化した男性など、共存するに値しない
…とでも仰りたいのでしょう。
成る程、其れも否定出来ませんね…
[wait][clear][end]"
msg_205,"[color(yellow)][var(msg_var_0)][color(white)]
聞きましたか、世の男性諸君…
このままでは、男としての肩身が狭いですよ。
ふふふふふ…
[wait][clear][end]"
msg_206,"…美の力を利用し、私から何を得るおつもりか？
[end_choice][clear][end]"
msg_206_Choice1,魔力よ魔力！
msg_206_Choice2,知性かな…
