﻿msg_0,"ヒットＩＤがみつかりません。
[wait][clear][end]"
msg_18,"[color(yellow)]トリッシュ[color(white)]
渡る世間はＧｉｖｅａｎｄｔａｋｅ！
お金次第で何でもＲｅｃｏｖｅｒ！
ご用はなぁに？[sync][wait][clear][end]"
msg_19,"[color(yellow)]トリッシュ[color(white)]
ご用はなぁに？
[end_choice][clear][end]"
msg_19_Choice1,回復してもらう
msg_19_Choice2,消費物を買う
msg_19_Choice3,アイテムを売る
msg_19_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_19_Choice5,話をする
msg_19_Choice6,用はない
msg_19_Choice7,店の外に出る
msg_20,"[color(yellow)]トリッシュ[color(white)]
何を売ってくれるの？
[end_choice][clear][end]"
msg_20_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_20_Choice2,[dbl_tab]消費物を売る
msg_20_Choice3,[dbl_tab]武器を売る
msg_20_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_20_Choice5,[dbl_tab]防具を売る
msg_20_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_20_Choice7,[dbl_tab]アクセサリーを売る
msg_21,"[color(yellow)]トリッシュ[color(white)]
何について聞きたいの？
[end_choice][clear][end]"
msg_21_Choice1,世間話をする
msg_21_Choice2,施設の説明を聞く
msg_22,"[color(yellow)]トリッシュ[color(white)]
他に何かある？
何でも言って、言って♥
[end_choice][clear][end]"
msg_22_Choice1,回復してもらう
msg_22_Choice2,消費物を買う
msg_22_Choice3,アイテムを売る
msg_22_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_22_Choice5,話をする
msg_22_Choice6,用はない
msg_22_Choice7,店の外に出る
msg_23,"[color(yellow)]トリッシュ[color(white)]
何を売ってくれるの？
[end_choice][clear][end]"
msg_23_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_23_Choice2,[dbl_tab]消費物を売る
msg_23_Choice3,[dbl_tab]武器を売る
msg_23_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_23_Choice5,[dbl_tab]防具を売る
msg_23_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_23_Choice7,[dbl_tab]アクセサリーを売る
msg_24,"[color(yellow)]トリッシュ[color(white)]
何について聞きたいの？
[end_choice][clear][end]"
msg_24_Choice1,世間話をする
msg_24_Choice2,施設の説明を聞く
msg_25,"[color(yellow)]トリッシュ[color(white)]
扉の外はＤａｎｇｅｒｏｕｓ！
注意一秒怪我一生。だからボクがここにいる。
ケチケチしないでどんどんＲｅｃｏｖｅｒ！[sync][wait][clear][end]"
msg_26,"[color(yellow)]トリッシュ[color(white)]
よーし、じゃあ痛いの痛いのォ～𝅘𝅥𝅮
…って、みんな元気じゃん！
これじゃ回復できないよォ～！！[sync][wait][clear][end]"
msg_27,"[color(yellow)]トリッシュ[color(white)]
ＯＫ！！
じゃあ、今の回復相場だと…
料金は[var(msg_var_5)]円だネ！
[sync][wait][clear][end]"
msg_28,"[color(yellow)]トリッシュ[color(white)]
回復するでしょ？
[end_choice][clear][end]"
msg_28_Choice1,はい
msg_28_Choice2,いいえ
msg_29,"[color(yellow)]トリッシュ[color(white)]
チェッ、やせ我慢しちゃって、
死んじゃってもしらないよ。
っていうか、死んじゃえケチ！[sync][wait][clear][end]"
msg_30,[color(green)]舞耶達は回復した。[color(white)][wait][clear][end]
msg_31,"[color(yellow)]トリッシュ[color(white)]
よーし、じゃあ痛いの痛いのォ～𝅘𝅥𝅮
…って、お金足りないじゃん！
出直してきな！！[sync][wait][clear][end]"
msg_32,"[color(yellow)]トリッシュ[color(white)]
じゃあ、いくよォ～！
痛いの痛いの飛んでけェ～！
ピロロロロ～𝅘𝅥𝅮[sync][wait][clear][end]"
msg_33,"[color(yellow)]トリッシュ[color(white)]
じゃあ、また来てね！
待ってるから。
Ｂｙｅ‐ｂｙｅ！[sync][wait][clear][end]"
msg_34,"[color(yellow)]トリッシュ[color(white)]
何について聞きたいの？
[end_choice][clear][end]"
msg_34_Choice1,回復
msg_34_Choice2,購入
msg_34_Choice3,売却
msg_34_Choice4,やめる
msg_35,"[color(yellow)]トリッシュ[color(white)]
「回復」の説明だね、ＯＫ！
うちで「回復してもらう」を選んでくれれば
ボクが「ＨＰ」と「ＳＰ」を回復してあげるよ♪
[wait][clear][color(yellow)]トリッシュ[color(white)]
オマケで「猛毒」とかのステータス異常も治しちゃうよ！
ちなみにお値段は回復相場で変動するよ。
ボクのせいで値上がりしてる訳じゃないからね♥
[wait][clear][color(yellow)]トリッシュ[color(white)]
こんなもんかな～♪
説明させたんだから、回復してけよォ！
[wait][clear][end]"
msg_36,"[color(yellow)]トリッシュ[color(white)]
「購入」の説明だね、ＯＫ！
うちで「消費物を買う」を選んでくれれば
便利なアイテムを超特価で提供するよ！
[wait][clear][color(yellow)]トリッシュ[color(white)]
こんなヘンピな所でアイテムが買えるのは
う・ち・だ・け・だ・よ！
品切れも無いからどんどん買ってけェ～！
[wait][clear][end]"
msg_37,"[color(yellow)]トリッシュ[color(white)]
「売却」の説明だね、ＯＫ！
うちで「アイテムを売る」を選んでくれれば
アイテムや装備品を買い取っちゃうよ！
[wait][clear][color(yellow)]トリッシュ[color(white)]
なんでも買い取れるわけじゃないし、
っていうか装備してるのは買い取れないし、
あんまり高くは買い取れないけど、勘弁してね♥
[wait][clear][end]"
msg_38,"ヒットＩＤがみつかりません。
[wait][clear][end]"
msg_39,"[color(yellow)]トリッシュ[color(white)]
そのＩｃｅなら[var(msg_var_0)]円で
ご馳走しちゃうけど、食べる？
[end_choice][clear][end]"
msg_39_Choice1,はい
msg_39_Choice2,いいえ
msg_40,"[color(yellow)]トリッシュ[color(white)]
あれ！？
買い取れるものがＮｏｔｈｉｎｇだよ！？[wait][clear][end]"
msg_41,"[color(yellow)]トリッシュ[color(white)]
えーと、アイテム相場と照らしあわせて…と、
[var(msg_var_0)]円になるけど、買う？
[end_choice][clear][end]"
msg_41_Choice1,はい
msg_41_Choice2,いいえ
msg_42,"[color(yellow)]トリッシュ[color(white)]
それは、[var(msg_var_0)]円なら買い取っても
いいかなぁ…売る？
[end_choice][clear][end]"
msg_42_Choice1,はい
msg_42_Choice2,いいえ
